Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
     0/2    100/7328     0.118     0.147      1.39     0.173      1.82       154      1.08
     0/2    101/7328     0.118     0.148      1.39     0.173      1.82       113     0.961
     0/2    102/7328     0.118     0.147      1.38     0.173      1.82        81     0.914
     0/2    103/7328     0.118     0.147      1.38     0.172      1.82        92      1.07
     0/2    104/7328     0.118     0.147      1.38     0.173      1.82        87      1.01
     0/2    105/7328     0.118     0.146      1.38     0.173      1.81        97      1.02
     0/2    106/7328     0.118     0.147      1.38     0.172      1.82       136      1.03
     0/2    107/7328     0.118     0.147      1.38     0.174      1.82       109      1.18
     0/2    108/7328     0.118     0.147      1.38     0.174      1.82       104      1.11
     0/2    109/7328     0.118     0.147      1.39     0.174      1.83       153     0.969
     0/2    110/7328     0.118     0.147      1.38     0.173      1.82        61      1.23
     0/2    111/7328     0.118     0.146      1.38     0.173      1.81       114     0.962
     0/2    112/7328     0.118     0.146      1.38     0.174      1.81       121      1.02
     0/2    113/7328     0.118     0.146      1.38     0.174      1.81       135     0.963
     0/2    114/7328     0.118     0.146      1.38     0.174      1.82       133      1.01
     0/2    115/7328     0.118     0.146      1.38     0.174      1.82        92      1.03
     0/2    116/7328     0.118     0.147      1.38     0.174      1.82        91      1.05
     0/2    117/7328     0.118     0.147      1.38     0.173      1.82        89     0.975
     0/2    118/7328     0.118     0.147      1.37     0.173      1.81        65       1.1
     0/2    119/7328     0.118     0.147      1.37     0.173      1.81        92     0.954
     0/2    120/7328     0.118     0.147      1.38     0.173      1.81       128      1.05
     0/2    121/7328     0.118     0.147      1.38     0.173      1.81       155     0.947
     0/2    122/7328     0.118     0.147      1.38     0.173      1.81       147      1.26
     0/2    123/7328     0.118     0.146      1.38     0.172      1.81       100       1.2
     0/2    124/7328     0.118     0.146      1.38     0.172      1.81        95      1.08
     0/2    125/7328     0.118     0.146      1.37     0.172      1.81        91      1.09
     0/2    126/7328     0.118     0.146      1.38     0.171      1.81       148      1.01
     0/2    127/7328     0.118     0.146      1.38      0.17      1.82       179     0.972
     0/2    128/7328     0.118     0.146      1.38     0.172      1.81        77      0.92
     0/2    129/7328     0.118     0.146      1.38     0.172      1.81       128      1.06
     0/2    130/7328     0.118     0.146      1.38     0.172      1.81       104     0.854
     0/2    131/7328     0.118     0.146      1.38     0.172      1.81        98      1.02
     0/2    132/7328     0.118     0.146      1.38     0.171      1.81        92     0.902
     0/2    133/7328     0.118     0.147      1.38     0.173      1.81       142     0.975
     0/2    134/7328     0.118     0.146      1.37     0.173      1.81        85     0.933
     0/2    135/7328     0.118     0.146      1.38     0.172      1.81       120     0.936
     0/2    136/7328     0.118     0.146      1.38     0.171      1.81       106     0.891
     0/2    137/7328     0.118     0.146      1.38     0.171      1.82       150     0.959
     0/2    138/7328     0.118     0.146      1.38     0.171      1.82       138       1.1
     0/2    139/7328     0.118     0.146      1.38     0.171      1.81        89     0.925
     0/2    140/7328     0.118     0.146      1.38     0.172      1.82       153      1.02
     0/2    141/7328     0.118     0.147      1.39     0.173      1.83       173     0.883
     0/2    142/7328     0.118     0.147      1.39     0.173      1.83       158      1.04
     0/2    143/7328     0.118     0.147      1.39     0.172      1.83       130      1.05
     0/2    144/7328     0.118     0.147      1.39     0.172      1.83       153      1.02
     0/2    145/7328     0.118     0.147       1.4     0.171      1.83       104     0.998
     0/2    146/7328     0.118     0.147      1.39     0.171      1.83        99         1
     0/2    147/7328     0.118     0.148      1.39     0.171      1.83       127     0.968
     0/2    148/7328     0.118     0.147      1.39      0.17      1.83        86      1.14
     0/2    149/7328     0.118     0.148      1.39      0.17      1.83       114     0.917
     0/2    150/7328     0.118     0.148      1.39     0.169      1.83        98     0.898
     0/2    151/7328     0.118     0.147      1.39     0.169      1.82       140      1.16
     0/2    152/7328     0.118     0.148      1.39     0.169      1.83       132     0.957
